ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,備註
24.11,9.93,49.13,5.72,1,8499,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
33.5,13.63,33.89,4.3,1,2912,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.44,2.74,22.08,4.96,1,1904,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
23.7,5.31,50.18,1.79,1,6756,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
31.68,10.54,20.59,5.4,1,2603,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
15.54,5.12,24.32,3.42,1,4977,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
20.86,5.13,36.18,4.33,1,9917,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
22.77,10.74,22.37,6.6,1,1537,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.21,3.22,77.36,1.29,1,2702,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5.06,1.51,12.96,3.09,-1,3703,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-7.07,-0.34,7.13,0.0,-1,1449,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.1,2.45,25.19,3.22,-1,4540,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.87,1.08,13.25,4.33,-1,1617,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.71,0.2,2.22,3.16,-1,2038,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
